id,name,website,address,phone,twitter,x,y
1,Austin PD Main HQ,http://www.austintexas.gov/department/police,"715 E. 8th St Austin, Texas ",(512)974-5000,@Austin_Police,-97.73507,30.267574
2,Austin PD North Sub-Station,http://www.austintexas.gov/department/police,"12425 Lamplight Village Ave. Austin, Texas ",(512)974-5843,@Austin_Police,-97.696183,30.414346
3,Austin PD East Sub-Station,http://www.austintexas.gov/department/police,"812 Springdale Rd. Austin, Texas",(512)974-5900,@Austin_Police,-97.700263,30.259212
4,Austin PD South Sub-Station,https://www.facebook.com/pages/Austin-Police-Department-South-Substation/166884059989976,"404 Ralph Ablanedo Dr. Austin, Texas",(512)974-8243,@Austin_Police,-97.793128,30.175455
5,UT Police Department,http://www.utexas.edu/police/contact/,"2201 Robert Dedman Dr. Austin, Texas",(512)471-4441,@UTAustinPolice,97.730426,30.284076
6,Austin Lake Patrol,https://www.austintexas.gov/department/lake-patrol,"2215 Westlake Dr. #D Austin, Texas",(512)329-8841,@Austin_Police,-97.784304,30.302574
7,Austin Park Police,http://www.nps.gov/subjects/uspp/index.htm,"2500 Columbus Dr. Austin, Texas",(512)974-6788,@usparkpolicepio,-97.776898,30.267716
8,Round Rock Police Department,http://www.roundrocktexas.gov/,"2701 North Mays Street Round Rock, Texas 78665",(512)218-5500,@roundrockpolice,-97.687185,30.540406
9,Cedar Park Police Department,http://www.cedarparktexas.gov/index.aspx?page=297,"911 Quest Pkwy Cedar Park, Texas 78613 ",(512)260-4600,@CedarParkPD,-97.824577,30.520253
10,Pflugerville Police Department,http://tx-pflugerville3.civicplus.com/index.aspx?nid=1169,"1611 Pfenning Ln. Pflugerville, Texas 78660",(512)251-4004,@PflugervilleTX,-97.608364,30.450411
11,Georgetown Police Department,https://pd.georgetown.org/,"508 S. Rock St. Georgetown, Texas 78626",(512)943-1300,@GeorgetownTXPD,-97.679555,30.638499
12,Hutto Police Department,http://www.huttotx.gov/index.aspx?nid=186,"401 W. Front St. Hutto, Texas 78634",(512)846-2057,@Huttopolice,-97.548291,30.54167
13,Leander Police Department,http://www.leandertx.gov/police,"705 Leander Dr. Leander, Texas 78641",(512)528-2800,@Leander_Police,-97.846966,30.569827